DC_NUM,DC_KEY,LOCATION_B,THEFT_DATE,THEFT_YEAR,DC_DIST,STOLEN_VAL,THEFT_HOUR,UCR,LAT,LNG
14848,2.01001E+11,2100 BLOCK S BROAD ST,4/16/2010,2010,1,150,0,625,39.9242733,-75.16977545
16330,2.01001E+11,S 2100 MCKEAN ST,4/24/2010,2010,1,215,17,615,39.9270745,-75.1809054
23568,2.01001E+11,2700 BLOCK SNYDER AVE,6/6/2010,2010,1,120,11,625,39.9271197,-75.19103415
28556,2.01001E+11,2100 BLOCK S GARNET ST,7/8/2010,2010,1,200,15,615,39.9254113,-75.17825736
29047,2.01001E+11,2100 BLOCK S 15TH ST,7/11/2010,2010,1,75,11,625,39.9241409,-75.17145694
29571,2.01001E+11,S 26TH ST / MC KEAN ST,7/14/2010,2010,1,100,21,625,39.9281383,-75.18917658
29788,2.01001E+11,1900 BLOCK SHUNK ST,7/16/2010,2010,1,100,10,625,39.9192551,-75.17952458
31540,2.01001E+11,1900 BLOCK S 22ND ST,7/27/2010,2010,1,200,16,615,39.9283432,-75.18224863
33377,2.01001E+11,2500 BLOCK S 16TH ST,8/8/2010,2010,1,150,18,625,39.9194765,-75.17409487
34130,2.01001E+11,2200 BLOCK MIFFLIN ST,8/13/2010,2010,1,200,21,615,39.9284996,-75.18224272
35596,2.01001E+11,2400 BLOCK S 24TH ST,8/23/2010,2010,1,150,20,625,39.9221325,-75.1869774
36219,2.01001E+11,2400 BLOCK S ROSEWOOD ST,8/27/2010,2010,1,200,20,615,39.9205986,-75.17123462
38610,2.01001E+11,S 18TH ST  / MIFFLIN ST,9/12/2010,2010,1,100,17,625,39.9276524,-75.17556858
39981,2.01001E+11,16TH JACKSON ST,9/21/2010,2010,1,129,20,625,39.925052,-75.19065091
40645,2.01001E+11,2400 BLOCK RITNER ST,9/26/2010,2010,1,270,17,615,39.9229015,-75.18784012
41791,2.01001E+11,1400 BLOCK SNYDER AV,10/4/2010,2010,1,180,10,625,39.9244968,-75.1705517
42467,2.01001E+11,S 23RD ST / W PASSYUNK AV,10/9/2010,2010,1,1900,16,615,39.9225846,-75.18521261
45934,2.01001E+11,2000 BLOCK S 22ND ST,11/1/2010,2010,1,50,14,625,39.9267087,-75.18259574
46685,2.01001E+11,1900 BLOCK S 16TH ST,11/6/2010,2010,1,700,16,615,39.9269316,-75.17245686
47298,2.01001E+11,2000 BLOCK S 26TH ST,11/11/2010,2010,1,1000,8,615,39.9278812,-75.18922194
47808,2.01001E+11,1800 BLOCK SNYDER AVE,11/13/2010,2010,1,1500,22,615,39.9253536,-75.17715378
4173,2.01002E+11,800 BLOCK BLEIGH AV,1/15/2010,2010,2,200,18,615,40.0642134,-75.0843515
6111,2.01002E+11,2300 BLOCK COTTMAN AV,1/26/2010,2010,2,100,16,625,40.0475099,-75.05949275
13771,2.01002E+11,1400 BLOCK STEVENS ST,3/1/2010,2010,2,300,18,615,40.0360411,-75.07938418
23095,2.01002E+11,6600 BLOCK KINDRED ST,4/7/2010,2010,2,80,14,625,40.0409394,-75.07190211
23643,2.01002E+11,900 BLOCK GRANITE ST,4/9/2010,2010,2,100,18,625,40.0310843,-75.09111889
25537,2.01002E+11,7300 BLOCK CLARIDGE ST,4/16/2010,2010,2,700,19,615,40.0594856,-75.07921179
26726,2.01002E+11,6000 BLOCK ALMA ST,4/20/2010,2010,2,90,13,625,40.0351148,-75.08277913
26912,2.01002E+11,1400 BLOCK GREEBY ST,4/22/2010,2010,2,0,5,625,40.0419019,-75.07725971
38729,2.01002E+11,6400 BLOCK BUSTLETON AV,6/6/2010,2010,2,100,0,625,40.0356502,-75.07050304
39836,2.01002E+11,7700 BLOCK WATSON ST,6/8/2010,2010,2,200,13,615,40.069051,-75.08215957
41798,2.01002E+11,7000 BLOCK SUMMERDALE AVE,6/18/2010,2010,2,350,21,615,40.0498171,-75.07573286
48849,2.01002E+11,400 BLOCK COMLY ST,7/17/2010,2010,2,99,16,625,40.0466966,-75.10405047
51546,2.01002E+11,6400 BLOCK MONTOUR ST,7/29/2010,2010,2,1800,18,615,40.0467405,-75.08989787
52054,2.01002E+11,6500 BLOCK CASTOR AV,7/31/2010,2010,2,100,19,625,40.0411133,-75.07582576
55163,2.01002E+11,2000 BLOCK GRIFFITH ST,8/12/2010,2010,2,250,17,615,40.059851,-75.05768083
56004,2.01002E+11,4600 BLOCK E ROOSEVELT BLVD,8/18/2010,2010,2,100,19,625,40.0283463,-75.09944288
60656,2.01002E+11,5800 BLOCK RISING SUN AVECHELTENHAM AV,9/8/2010,2010,2,150,22,625,40.0429216,-75.10434061
66785,2.01002E+11,6100 BLOCK RISING SUN AVE,10/1/2010,2010,2,120,19,625,40.046077,-75.09957213
67619,2.01002E+11,1200 BLOCK HELLERMAN ST,10/5/2010,2010,2,150,18,625,40.0436322,-75.08151526
71294,2.01002E+11,6500 BLOCK CASTOR AV,10/21/2010,2010,2,170,20,625,40.0407053,-75.07623489
71297,2.01002E+11,7700 BLOCK ROCKWELL AV,10/21/2010,2010,2,600,20,615,40.0694291,-75.08353882
74161,2.01002E+11,1600 BLOCK COTTMAN AV,11/3/2010,2010,2,125,13,625,40.0553312,-75.07322818
2371,2.01003E+11,600 BLOCK SOUTH ST,1/24/2010,2010,3,100,18,625,39.9420875,-75.15293658
6562,2.01003E+11,500 BLOCK PORTER ST,3/10/2010,2010,3,150,18,625,39.9176473,-75.15715154
14772,2.01003E+11,700 BLOCK MOUNTAIN ST,4/10/2010,2010,3,200,15,615,39.9282473,-75.1576033
17712,2.01003E+11,800 BLOCK MOORE ST,4/21/2010,2010,3,150,20,625,39.9267873,-75.1592285
19457,2.01003E+11,700 BLOCK FULTON ST,4/28/2010,2010,3,500,9,615,39.9394465,-75.15467867
21221,2.01003E+11,700 BLOCK SNYDER AV,5/5/2010,2010,3,215,17,615,39.9228953,-75.15823544
21246,2.01003E+11,1100 BLOCK LOMBARD ST,5/5/2010,2010,3,500,19,615,39.944045,-75.16031886
23876,2.01003E+11,2600 BLOCK S 10TH ST,5/15/2010,2010,3,600,1,615,39.9168671,-75.16431441
24157,2.01003E+11,500 BLOCK S JUNIPER ST,5/15/2010,2010,3,1500,1,615,39.944021,-75.16424456
24879,2.01003E+11,700 BLOCK PEMBERTON ST,5/6/2010,2010,3,100,14,625,39.9408372,-75.15508938
25136,2.01003E+11,1500 BLOCK S ISEMINGER ST,5/19/2010,2010,3,350,13,615,39.9313082,-75.16533464
25786,2.01003E+11,1200 BLOCK CARPENTER ST,5/20/2010,2010,3,1500,19,615,39.9387054,-75.16344785
25994,2.01003E+11,1300 BLOCK MORRIS ST,5/23/2010,2010,3,230,9,615,39.9290819,-75.1672029
26505,2.01003E+11,800 BLOCK S DELHI ST,5/24/2010,2010,3,700,19,615,39.9398059,-75.15891059
27897,2.01003E+11,600 BLOCK CROSS ST,5/31/2010,2010,3,150,20,625,39.9293643,-75.15599113
28282,2.01003E+11,1700 BLOCK E PASSYUNK AV,5/29/2010,2010,3,400,15,615,39.9286902,-75.16493479
28675,2.01003E+11,800 BLOCK MORRIS ST,6/3/2010,2010,3,600,21,615,39.9280315,-75.15910974
32104,2.01003E+11,1300 BLOCK S 12TH ST,6/14/2010,2010,3,100,19,625,39.9336567,-75.16388971
32751,2.01003E+11,600 BLOCK S RANDOLPH ST,6/17/2010,2010,3,100,5,625,39.9418977,-75.15158804
32885,2.01003E+11,900 BLOCK SOUTH ST,6/16/2010,2010,3,150,17,625,39.9427305,-75.15804981
32968,2.01003E+11,1100 BLOCK S 2ND ST,6/18/2010,2010,3,200,22,615,39.933254,-75.14742355
34894,2.01003E+11,1500 BLOCK E MOYAMENSING AV,6/25/2010,2010,3,40,8,635,39.9288664,-75.15037397
34955,2.01003E+11,600 BLOCK DICKINSON ST,6/25/2010,2010,3,200,12,615,39.9299874,-75.15500419
37804,2.01003E+11,S 10TH STCHRISTIAN TER ST,7/5/2010,2010,3,200,19,615,39.9125722,-75.14543251
37914,2.01003E+11,400 BLOCK HOFFMAN ST,7/3/2010,2010,3,220,10,615,39.9242801,-75.15304623
39369,2.01003E+11,800 BLOCK LOMBARD ST,7/1/2010,2010,3,0,10,625,39.9434183,-75.15531194
39984,2.01003E+11,900 BLOCK BAINBRIDGE ST,7/15/2010,2010,3,1300,23,615,39.9417406,-75.15726696
41934,2.01003E+11,200 BLOCK BECK ST,7/22/2010,2010,3,275,12,615,39.9364769,-75.14676499
42962,2.01003E+11,S 9TH ST  / CHRISTIAN ST,7/25/2010,2010,3,100,13,625,39.9389906,-75.15783568
43254,2.01003E+11,1800 BLOCK S CHRISTOPHER COLUMBUS BLVD,7/27/2010,2010,3,74,13,625,39.9240341,-75.14353189
46177,2.01003E+11,S 11TH ST  / REED ST,8/6/2010,2010,3,90,16,625,39.9330368,-75.16234364
46204,2.01003E+11,700 BLOCK S 10TH ST,8/6/2010,2010,3,400,18,615,39.9409843,-75.15904405
46277,2.01003E+11,0 BLOCK CITIZENS BANK WAY,8/6/2010,2010,3,150,22,625,39.9071055,-75.16657564
46470,2.01003E+11,200 BLOCK QUEEN ST,8/7/2010,2010,3,250,12,615,39.9369634,-75.14678203
47272,2.01003E+11,600 BLOCK FITZWATER ST,8/9/2010,2010,3,500,15,615,39.940114,-75.15322607
48070,2.01003E+11,2200 BLOCK S 9TH ST,8/13/2010,2010,3,50,7,625,39.9218973,-75.16159063
50919,2.01003E+11,ISEMINGER  / BIGLER ST,8/23/2010,2010,3,90,13,625,39.9139097,-75.16920586
51240,2.01003E+11,1000 BLOCK S 7TH ST,8/24/2010,2010,3,200,19,615,39.9366448,-75.15514242
54847,2.01003E+11,0 BLOCK MIFFLIN ST,9/6/2010,2010,3,100,13,625,39.9235733,-75.14440561
55618,2.01003E+11,900 BLOCK MC KEAN ST,9/9/2010,2010,3,100,6,625,39.924586,-75.16159526
55807,2.01003E+11,1500 BLOCK S 13TH ST,9/9/2010,2010,3,300,19,615,39.9313446,-75.16597538
56500,2.01003E+11,1200 BLOCK CLYMER ST,9/11/2010,2010,3,200,20,615,39.940884,-75.16250865
57339,2.01003E+11,2300 BLOCK S FRANKLIN ST,9/14/2010,2010,3,150,2,625,39.9200645,-75.1598414
58196,2.01003E+11,100 BLOCK MORRIS ST,9/18/2010,2010,3,600,12,615,39.9264483,-75.14729175
59113,2.01003E+11,1100 BLOCK S 9TH ST,9/22/2010,2010,3,150,1,625,39.9351488,-75.15869571
59163,2.01003E+11,1800 BLOCK S 4TH ST,9/22/2010,2010,3,60,8,625,39.9251816,-75.15283344
59247,2.01003E+11,1400 BLOCK S MILDRED ST,9/22/2010,2010,3,250,14,615,39.931673,-75.15825746
59622,2.01003E+11,900 BLOCK REED ST,9/23/2010,2010,3,1200,23,615,39.931892,-75.15992576
60082,2.01003E+11,S 9TH ST  / CHRISTIAN ST,9/25/2010,2010,3,1900,15,615,39.9389906,-75.15783568
60104,2.01003E+11,S 9TH ST  / CHRISTIAN ST,9/25/2010,2010,3,50,17,625,39.9389906,-75.15783568
61795,2.01003E+11,1300 BLOCK SOUTH ST,10/2/2010,2010,3,150,20,625,39.943563,-75.1647615
62017,2.01003E+11,1100 BLOCK SOUTH ST,10/3/2010,2010,3,700,12,615,39.9430423,-75.16042843
64299,2.01003E+11,300 BLOCK MONROE ST,10/12/2010,2010,3,300,17,615,39.9397344,-75.14835273
64512,2.01003E+11,900 BLOCK MC KEAN ST,10/13/2010,2010,3,300,15,615,39.9245054,-75.16106329
64885,2.01003E+11,S 7TH ST  / SNYDER AV,10/15/2010,2010,3,200,12,615,39.9229,-75.15819959
65200,2.01003E+11,1000 BLOCK S FAIRHILL ST,10/16/2010,2010,3,100,16,625,39.9361018,-75.15323667
66361,2.01003E+11,1300 BLOCK FEDERAL ST,10/20/2010,2010,3,442,23,615,39.9353347,-75.16511017
66416,2.01003E+11,500 BLOCK CLYMER ST,10/21/2010,2010,3,700,8,615,39.9396383,-75.15235231
66814,2.01003E+11,900 BLOCK SNYDER AV,10/22/2010,2010,3,400,19,615,39.9233663,-75.16182005
67451,2.01003E+11,1500 BLOCK S 5TH ST,10/23/2010,2010,3,275,23,615,39.9297826,-75.1534781
67698,2.01003E+11,300 BLOCK SOUTH ST,10/25/2010,2010,3,50,21,625,39.9414493,-75.14768054
68584,2.01003E+11,1200 BLOCK PETERS ST,10/27/2010,2010,3,1200,22,615,39.9365011,-75.16324634
69146,2.01003E+11,S 9TH ST  / BAINBRIDGE ST,10/30/2010,2010,3,200,15,615,39.9417461,-75.15726675
69435,2.01003E+11,1900 BLOCK S GALLOWAY,10/31/2010,2010,3,150,11,625,0,0
69489,2.01003E+11,700 BLOCK S 13TH ST,10/30/2010,2010,3,300,16,615,39.9410655,-75.16385752
69912,2.01003E+11,1200 BLOCK ELLSWORTH ST,10/26/2010,2010,3,550,13,615,39.9362113,-75.1637925
70241,2.01003E+11,900 BLOCK SOUTH ST,11/3/2010,2010,3,400,15,615,39.9426772,-75.15751666
71498,2.01003E+11,300 BLOCK KAUFFMAN ST,11/5/2010,2010,3,200,17,615,39.9377149,-75.14903655
71808,2.01003E+11,500 BLOCK SOUTH ST,11/9/2010,2010,3,1200,22,615,39.9419451,-75.15162191
72822,2.01003E+11,900 BLOCK S SHERIDAN ST,11/13/2010,2010,3,800,11,615,39.9376049,-75.1546063
73547,2.01003E+11,1400 BLOCK S 10TH ST,11/15/2010,2010,3,150,23,625,39.9317687,-75.16103633
74243,2.01003E+11,1500 BLOCK S 6TH ST,11/18/2010,2010,3,100,20,625,39.9298447,-75.15500964
74796,2.01003E+11,200 BLOCK OREGON AV,11/20/2010,2010,3,200,18,615,39.914278,-75.15207306
81553,2.01003E+11,1500 BLOCK S FRANKLIN ST,12/17/2010,2010,3,400,19,615,39.9302218,-75.15759934
1782,2.01004E+11,0 BLOCK MIFFLIN ST,1/14/2010,2010,4,500,21,615,39.9235733,-75.14440561
3289,2.01004E+11,500 BLOCK MORRIS ST,1/25/2010,2010,4,460,13,615,39.9273392,-75.15399949
7058,2.01005E+11,200 BLOCK OSBORN ST,4/7/2010,2010,5,400,22,615,40.0196014,-75.20726465
7842,2.01005E+11,4300 BLOCK FLEMING ST,4/17/2010,2010,5,200,13,615,40.0283151,-75.21969148
12220,2.01005E+11,300 BLOCK HERMITAGE ST,6/8/2010,2010,5,150,12,625,40.0336348,-75.22556659
13525,2.01005E+11,3900 BLOCK MANAYUNK AV,6/23/2010,2010,5,0,18,635,40.0214963,-75.21198014
16419,2.01005E+11,100 BLOCK KINGSLEY ST,8/3/2010,2010,5,300,22,615,40.0226344,-75.21675984
16829,2.01005E+11,400 BLOCK EVERGREEN AV,8/8/2010,2010,5,700,16,615,40.0549083,-75.23714012
19696,2.01005E+11,600 BLOCK HERMITAGE ST,9/17/2010,2010,5,550,18,615,40.038736,-75.21440805
20139,2.01005E+11,400 BLOCK GERHARD ST,9/23/2010,2010,5,200,19,615,40.0306602,-75.21270918
20299,2.01005E+11,6700 BLOCK RIDGE AV,9/25/2010,2010,5,300,17,615,40.0418605,-75.22572507
20916,2.01005E+11,4800 BLOCK UMBRIA ST,10/4/2010,2010,5,900,18,615,40.0325681,-75.2326442
24253,2.01005E+11,300 BLOCK FOUNTAIN ST,11/14/2010,2010,5,500,18,615,40.0370401,-75.22518982
27025,2.01005E+11,200 BLOCK LEMONTE,12/30/2010,2010,5,100,15,625,40.0356646,-75.23045716
27084,2.01005E+11,6100 BLOCK RIDGE AV,12/31/2010,2010,5,50,11,625,40.0334499,-75.21517717
480,2.01006E+11,400 BLOCK S 11TH ST,1/3/2010,2010,6,400,14,615,39.9449118,-75.15978631
4050,2.01006E+11,1200 BLOCK VINE ST,1/22/2010,2010,6,1000,10,615,39.9576415,-75.15883706
6076,2.01006E+11,100 BLOCK S 11TH ST,2/2/2010,2010,6,240,17,615,39.9502032,-75.15865684
6434,2.01006E+11,300 BLOCK WALNUT ST,2/4/2010,2010,6,400,16,615,39.947116,-75.14639308
10384,2.01006E+11,400 BLOCK S 13TH ST,2/28/2010,2010,6,600,12,615,39.9453045,-75.1629469
10936,2.01006E+11,1200 BLOCK RACE ST,3/4/2010,2010,6,100,12,625,39.9558851,-75.15986757
11101,2.01006E+11,1200 BLOCK RACE ST,3/5/2010,2010,6,500,11,615,39.9558682,-75.15972547
12065,2.01006E+11,400 BLOCK GREEN ST,3/9/2010,2010,6,400,10,615,39.9617651,-75.14483237
14417,2.01006E+11,N 12TH ST  / ARCH ST,3/21/2010,2010,6,200,22,615,39.9539641,-75.15944121
16429,2.01006E+11,N 12TH ST / ARCH ST,3/31/2010,2010,6,1200,21,615,39.9539641,-75.15944121
17946,2.01006E+11,1000 BLOCK CLINTON ST,4/7/2010,2010,6,300,18,615,39.945236,-75.15845377
19929,2.01006E+11,1000 BLOCK MARKET ST,4/16/2010,2010,6,100,6,625,39.9515332,-75.15675056
20864,2.01006E+11,S 2ND ST / MARKET ST,4/17/2010,2010,6,450,17,615,39.9510076,-75.14349632
21510,2.01006E+11,1200 BLOCK LOMBARD ST,4/24/2010,2010,6,0,10,635,39.9442399,-75.16177431
23585,2.01006E+11,200 BLOCK MARKET ST,5/4/2010,2010,6,420,18,615,39.9499369,-75.14375149
23773,2.01006E+11,400 BLOCK N 9TH ST,5/4/2010,2010,6,150,15,625,39.9599109,-75.15329022
24120,2.01006E+11,1200 BLOCK MARKET ST,5/7/2010,2010,6,800,1,615,39.9519342,-75.15991113
24124,2.01006E+11,N 5TH ST  / SPRING GARDEN ST,5/7/2010,2010,6,1000,2,615,39.9612634,-75.14656468
26427,2.01006E+11,1200 BLOCK PANAMA ST,5/15/2010,2010,6,500,15,615,39.9455298,-75.16222471
28500,2.01006E+11,1300 BLOCK WAVERLY ST,5/27/2010,2010,6,1500,19,615,39.9449713,-75.16303095
28861,2.01006E+11,1000 BLOCK SPRUCE ST,5/29/2010,2010,6,400,12,615,39.9461846,-75.15838192
29441,2.01006E+11,1200 BLOCK ARCH ST,6/1/2010,2010,6,400,16,615,39.9539567,-75.15947718
30151,2.01006E+11,700 BLOCK MARKET ST,6/4/2010,2010,6,800,20,615,39.9509403,-75.15202728
30554,2.01006E+11,100 BLOCK CHURCH ST,6/5/2010,2010,6,1000,16,615,39.9503343,-75.14202345
30708,2.01006E+11,600 BLOCK PINE ST,5/31/2010,2010,6,560,13,615,39.9439934,-75.15232855
33958,2.01006E+11,400 BLOCK S 2ND ST,6/23/2010,2010,6,250,21,615,39.9426355,-75.14549437
35143,2.01006E+11,800 BLOCK SPRUCE ST,6/28/2010,2010,6,495,19,615,39.9457484,-75.15475911
35742,2.01006E+11,1100 BLOCK FILBERT ST,7/1/2010,2010,6,700,2,615,39.9527583,-75.15809549
36007,2.01006E+11,1200 BLOCK CLOVER ST,7/3/2010,2010,6,750,10,615,39.9508845,-75.16012956
36701,2.01006E+11,1300 BLOCK CHESTNUT ST,7/6/2010,2010,6,800,22,615,39.9505958,-75.16181767
37215,2.01006E+11,800 BLOCK CHESTNUT ST,7/9/2010,2010,6,500,14,615,39.9496185,-75.15393332
37594,2.01006E+11,1200 BLOCK ARCH ST,7/11/2010,2010,6,700,10,615,39.9539567,-75.15947718
38024,2.01006E+11,500 BLOCK LOMBARD ST,7/13/2010,2010,6,300,20,615,39.9428768,-75.15080134
38329,2.01006E+11,800 BLOCK N 3RD ST,7/14/2010,2010,6,100,11,625,39.9639615,-75.14274947
38774,2.01006E+11,200 BLOCK S 12TH ST,7/17/2010,2010,6,900,14,615,39.9485015,-75.16064857
39326,2.01006E+11,200 BLOCK S 10TH ST,7/20/2010,2010,6,800,12,615,39.9466354,-75.15779382
39342,2.01006E+11,0 BLOCK N 3RD ST,7/17/2010,2010,6,1800,12,615,39.9516232,-75.14532827
39345,2.01006E+11,800 BLOCK WALNUT ST,7/20/2010,2010,6,1500,13,615,39.9481466,-75.15466752
40263,2.01006E+11,300 BLOCK N 3RD ST,7/24/2010,2010,6,300,21,615,39.9558739,-75.1444516
40391,2.01006E+11,1000 BLOCK FILBERT ST,7/25/2010,2010,6,250,12,615,39.9525856,-75.15653197
40637,2.01006E+11,800 BLOCK MARKET ST,7/26/2010,2010,6,300,17,615,39.9511302,-75.15362578
41223,2.01006E+11,1200 BLOCK MARKET ST,7/29/2010,2010,6,1600,15,615,39.9519177,-75.15991176
41474,2.01006E+11,800 BLOCK CHESTNUT ST,7/30/2010,2010,6,600,16,615,39.9496956,-75.15442994
41980,2.01006E+11,1300 BLOCK SANSOM ST,8/1/2010,2010,6,500,18,615,39.9498382,-75.16195358
43741,2.01006E+11,300 BLOCK S 2ND ST,8/9/2010,2010,6,300,9,615,39.9436564,-75.14509844
45031,2.01006E+11,700 BLOCK N ORKNEY ST,8/16/2010,2010,6,200,18,615,39.9630946,-75.14617329
46970,2.01006E+11,1000 BLOCK LOCUST ST,8/26/2010,2010,6,750,13,615,39.9473684,-75.15765882
47186,2.01006E+11,300 BLOCK S 13TH ST,8/26/2010,2010,6,250,17,615,39.9467175,-75.16264334
47756,2.01006E+11,0 BLOCK N 3RD ST,8/8/2010,2010,6,3050,12,615,39.9515143,-75.14536813
47789,2.01006E+11,100 BLOCK N 9TH ST,8/30/2010,2010,6,300,16,615,39.9544036,-75.1544642
48695,2.01006E+11,900 BLOCK HAMILTON ST,9/4/2010,2010,6,150,8,625,39.9601573,-75.15374474
49402,2.01006E+11,100 BLOCK S 8TH ST,9/7/2010,2010,6,500,10,615,39.9486778,-75.15411199
50878,2.01006E+11,400 BLOCK FAIRMOUNT AV,9/16/2010,2010,6,125,12,625,39.9629798,-75.14571373
51453,2.01006E+11,1000 BLOCK SPRING GARDEN ST,9/18/2010,2010,6,50,15,625,39.9617365,-75.15471938
51605,2.01006E+11,300 BLOCK LOMBARD ST,9/20/2010,2010,6,950,15,615,39.9424901,-75.14767637
51694,2.01006E+11,300 BLOCK N 13TH ST,9/21/2010,2010,6,60,7,625,39.9578951,-75.16021919
51829,2.01006E+11,S 11TH ST  / WALNUT ST,9/21/2010,2010,6,150,22,625,39.9486914,-75.15896427
51911,2.01006E+11,200 BLOCK PINE ST,9/21/2010,2010,6,100,12,625,39.9431779,-75.14579469
52534,2.01006E+11,1000 BLOCK PINE ST,9/25/2010,2010,6,400,12,615,39.9447153,-75.15825955
52582,2.01006E+11,800 BLOCK SPRUCE STREET,9/25/2010,2010,6,125,19,625,39.9457319,-75.15475974
52905,2.01006E+11,500 BLOCK MARKET ST,9/24/2010,2010,6,200,14,615,39.9505572,-75.14893748
53099,2.01006E+11,300 BLOCK S 5TH ST,9/28/2010,2010,6,500,18,615,39.9449915,-75.15007821
56435,2.01006E+11,1100 BLOCK WALNUT ST,10/16/2010,2010,6,375,2,615,39.9487461,-75.15931901
56495,2.01006E+11,1200 BLOCK SANSOM ST,10/15/2010,2010,6,500,11,615,39.9496436,-75.16039095
56524,2.01006E+11,100 BLOCK N 12TH ST,10/16/2010,2010,6,1000,15,615,39.9539915,-75.15944017
56976,2.01006E+11,S 8TH ST  / DELANCEY ST,10/5/2010,2010,6,265,23,615,39.9449504,-75.15493231
57310,2.01006E+11,1200 BLOCK LOCUST ST,10/20/2010,2010,6,400,18,615,39.9477474,-75.16082004
58106,2.01006E+11,1300 BLOCK PINE ST,10/24/2010,2010,6,300,12,615,39.9454364,-75.16404797
58383,2.01006E+11,800 BLOCK SPRUCE STREET,10/25/2010,2010,6,300,8,615,39.9457319,-75.15475974
58489,2.01006E+11,200 BLOCK S 5TH ST,10/26/2010,2010,6,200,19,615,39.9468117,-75.14968743
58765,2.01006E+11,400 BLOCK S BROAD ST,10/27/2010,2010,6,500,10,615,39.9455486,-75.16500708
58792,2.01006E+11,900 BLOCK CHESTNUT ST,10/28/2010,2010,6,1000,13,615,39.9498908,-75.15613527
59089,2.01006E+11,N 10TH ST  / MARKET ST,10/29/2010,2010,6,1260,20,615,39.9515387,-75.15675035
59407,2.01006E+11,1200 BLOCK FILBERT ST,10/31/2010,2010,6,1200,11,615,39.9529399,-75.15969437
61305,2.01006E+11,300 BLOCK S CAMAC ST,11/10/2010,2010,6,200,21,615,39.9466257,-75.16186185
61387,2.01006E+11,1100 BLOCK CHESTNUT ST,11/11/2010,2010,6,0,10,635,39.9502491,-75.15886918
62495,2.01006E+11,S 11TH ST  / WALNUT ST,11/17/2010,2010,6,1000,16,615,39.9486914,-75.15896427
63242,2.01006E+11,1100 BLOCK ARCH ST,11/21/2010,2010,6,1000,12,615,39.9538066,-75.1583053
67207,2.01006E+11,100 BLOCK S 11TH ST,12/12/2010,2010,6,451,12,615,39.9496724,-75.15874845
67878,2.01006E+11,N 11TH ST  / WALLACE ST,12/19/2010,2010,6,20,16,635,39.9642745,-75.15558607
68048,2.01006E+11,1100 BLOCK FILBERT ST,12/20/2010,2010,6,250,18,615,39.9527583,-75.15809549
17023,2.01007E+11,1600 BLOCK PLACID ST,5/2/2010,2010,7,400,12,615,40.0753246,-75.05184705
24799,2.01007E+11,8000 BLOCK ROOSEVELT BLVDVELT BLVD,6/27/2010,2010,7,500,18,615,40.0568484,-75.04700638
26582,2.01007E+11,1100 BLOCK MOREFIELD RD,7/1/2010,2010,7,300,14,615,40.1015992,-75.03946414
27013,2.01007E+11,13400 BLOCK DAMAR DR,7/12/2010,2010,7,700,10,615,40.1208775,-75.00087939
27235,2.01007E+11,1100 BLOCK BARTLETT ST,7/8/2010,2010,7,230,23,615,40.1012068,-75.03447287
29723,2.01007E+11,9600 BLOCK BANES ST,8/2/2010,2010,7,150,15,625,40.0884182,-75.03662985
30272,2.01007E+11,1900 BLOCK FULMER ST,7/4/2010,2010,7,100,14,625,40.0867137,-75.0319067
30297,2.01007E+11,9800 BLOCK BUSTLETON AVE,8/6/2010,2010,7,300,18,615,40.0937837,-75.03112263
34892,2.01007E+11,1100 BLOCK BYBERRY RD,9/9/2010,2010,7,200,20,615,40.1196222,-75.0086933
14154,2.01008E+11,11700 BLOCK BRANDON RD,4/7/2010,2010,8,450,21,615,40.0939469,-74.9853426
16805,2.01008E+11,4700 BLOCK GRANT AVE,4/25/2010,2010,8,175,9,625,40.0580413,-74.98780667
23559,2.01008E+11,4000 BLOCK WOODHAVEN RD,6/6/2010,2010,8,150,13,625,40.0868582,-74.97190086
24907,2.01008E+11,2900 BLOCK NESTOR RD,6/12/2010,2010,8,200,12,615,40.1036257,-74.9987535
30536,2.01008E+11,3600 BLOCK WESSEX LN,7/17/2010,2010,8,200,17,615,40.071675,-74.99136257
31237,2.01008E+11,2600 BLOCK TOLBUT ST,7/21/2010,2010,8,350,21,615,40.0619981,-75.03257535
34522,2.01008E+11,8700 BLOCK CRISPIN ST,8/11/2010,2010,8,150,16,625,40.0508929,-75.01411493
35073,2.01008E+11,2500 BLOCK WELSH RD,8/14/2010,2010,8,350,15,615,40.0728288,-75.03357137
36732,2.01008E+11,3200 BLOCK RED LION RD,8/25/2010,2010,8,214,23,615,40.081477,-74.99411019
44707,2.01008E+11,3200 BLOCK CHELSEA PL,10/17/2010,2010,8,200,18,615,40.079178,-74.99684933
48665,2.01008E+11,100 BLOCK VILLAGE LA,11/15/2010,2010,8,300,11,615,40.0765847,-74.97671917
118,2.01009E+11,1500 BLOCK MARKET ST,1/1/2010,2010,9,400,15,615,39.9526257,-75.1654872
4593,2.01009E+11,400 BLOCK N 20TH ST,1/29/2010,2010,9,500,9,615,39.9610588,-75.17155466
12704,2.01009E+11,2200 BLOCK PENNSYLVANIA AV,1/25/2010,2010,9,550,15,615,39.9630524,-75.17472675
13731,2.01009E+11,S 17TH ST  / CHESTNUT ST,3/27/2010,2010,9,375,12,615,39.9514777,-75.16877808
16016,2.01009E+11,S 20TH ST  / WALNUT ST,4/8/2010,2010,9,436,17,615,39.9505417,-75.17380927
